loc,path,role,notes
4280,"/home/user/ReadyRoom/src/components/settings/RosterSettings.tsx",Component,"CRITICAL: >2000 LOC"
2602,"/home/user/ReadyRoom/src/components/ui/RosterManagement.tsx",Component,"CRITICAL: >2000 LOC"
2261,"/home/user/ReadyRoom/src/components/ui/mission prep/FlightAssignments.tsx",Component,"CRITICAL: >2000 LOC"
2168,"/home/user/ReadyRoom/src/components/ui/events/EventDialog.tsx",Component,"CRITICAL: >2000 LOC"
2126,"/home/user/ReadyRoom/src/components/settings/OrgEntityModal.tsx",Component,"CRITICAL: >2000 LOC"
2115,"/home/user/ReadyRoom/src/components/ui/roster/PilotDetails.tsx",Component,"CRITICAL: >2000 LOC"
1856,"/home/user/ReadyRoom/src/types/supabase.ts",Types,"WARNING: >1000 LOC"
1850,"/home/user/ReadyRoom/src/components/ui/dialogs/DiscordPilotsDialog.tsx",Component,"WARNING: >1000 LOC"
1832,"/home/user/ReadyRoom/src/components/reports/CycleAttendanceReport.tsx",Component,"WARNING: >1000 LOC"
1678,"/home/user/ReadyRoom/src/utils/discordService.ts",Service/Utility,"WARNING: >1000 LOC"
1544,"/home/user/ReadyRoom/src/components/ui/EventsManagement.tsx",Component,"WARNING: >1000 LOC"
1488,"/home/user/ReadyRoom/src/utils/pilotService.ts",Service/Utility,"WARNING: >1000 LOC"
1439,"/home/user/ReadyRoom/src/components/settings/SquadronDiscordSettings.tsx",Component,"WARNING: >1000 LOC"
1301,"/home/user/ReadyRoom/src/components/ui/roster/BulkEditPilotDetails.tsx",Component,"WARNING: >1000 LOC"
1246,"/home/user/ReadyRoom/src/components/ui/mission prep/AvailablePilots.tsx",Component,"WARNING: >1000 LOC"
1245,"/home/user/ReadyRoom/src/components/reports/DiscordRoleVerificationReport.tsx",Component,"WARNING: >1000 LOC"
1151,"/home/user/ReadyRoom/src/components/ui/events/EventDetails.tsx",Component,"WARNING: >1000 LOC"
1085,"/home/user/ReadyRoom/src/components/ui/mission prep/MissionDetails.tsx",Component,"WARNING: >1000 LOC"
1046,"/home/user/ReadyRoom/src/utils/supabaseClient.ts",Service/Utility,"WARNING: >1000 LOC"
984,"/home/user/ReadyRoom/src/components/settings/OrganizationSettings.tsx",Component,""
959,"/home/user/ReadyRoom/src/components/ui/roster/FilterDrawer.tsx",Component,""
923,"/home/user/ReadyRoom/src/components/ui/events/EventAttendance.tsx",Component,""
834,"/home/user/ReadyRoom/src/utils/autoAssignUtils.ts",Service/Utility,""
738,"/home/user/ReadyRoom/src/utils/permissionCalculator.ts",Service/Utility,""
724,"/home/user/ReadyRoom/src/components/ui/events/CycleDialog.tsx",Component,""
723,"/home/user/ReadyRoom/src/hooks/useMissionPrepDataPersistence.ts",Hook,""
713,"/home/user/ReadyRoom/src/utils/cycleAttendanceReportService.ts",Service/Utility,""
669,"/home/user/ReadyRoom/src/utils/attendanceReportService.ts",Service/Utility,""
660,"/home/user/ReadyRoom/src/components/ui/change-log/PostManagementDialog.tsx",Component,""
653,"/home/user/ReadyRoom/src/utils/permissionService.ts",Service/Utility,""
642,"/home/user/ReadyRoom/src/components/ui/roster/QualificationsManager.tsx",Component,""
635,"/home/user/ReadyRoom/src/components/ui/dialogs/AddFlightDialog.tsx",Component,""
631,"/home/user/ReadyRoom/src/App.tsx",Other,""
627,"/home/user/ReadyRoom/src/components/ui/polls/CreatePollDialog.tsx",Component,""
615,"/home/user/ReadyRoom/src/components/ui/mission prep/Communications.tsx",Component,""
615,"/home/user/ReadyRoom/src/components/ui/MissionPreparation.tsx",Component,""
614,"/home/user/ReadyRoom/src/utils/organizationService.ts",Service/Utility,""
605,"/home/user/ReadyRoom/src/utils/qualificationService.ts",Service/Utility,""
605,"/home/user/ReadyRoom/src/utils/discordPilotService.ts",Service/Utility,""
602,"/home/user/ReadyRoom/src/components/ui/mission prep/MissionSupportAssignments.tsx",Component,""
599,"/home/user/ReadyRoom/src/utils/reminderService.ts",Service/Utility,""
592,"/home/user/ReadyRoom/src/components/settings/PermissionsMatrix.tsx",Component,""
590,"/home/user/ReadyRoom/src/components/settings/EventSettings.tsx",Component,""
577,"/home/user/ReadyRoom/src/components/ui/roster/PilotList.tsx",Component,""
570,"/home/user/ReadyRoom/src/utils/pilotDataUtils.ts",Service/Utility,""
567,"/home/user/ReadyRoom/src/components/ui/roster/TeamsManager.tsx",Component,""
564,"/home/user/ReadyRoom/src/components/ui/polls/EditPollDialog.tsx",Component,""
555,"/home/user/ReadyRoom/src/components/ui/NavigationBar.tsx",Component,""
545,"/home/user/ReadyRoom/src/utils/roleService.ts",Service/Utility,""
510,"/home/user/ReadyRoom/src/components/ui/flight cards/FlightAssignmentCard.tsx",Component,""
497,"/home/user/ReadyRoom/src/components/ui/polls/PollManagementDialog.tsx",Component,""
486,"/home/user/ReadyRoom/src/utils/changeLogService.ts",Service/Utility,""
479,"/home/user/ReadyRoom/src/utils/userProfileService.ts",Service/Utility,""
469,"/home/user/ReadyRoom/src/utils/missionService.ts",Service/Utility,""
469,"/home/user/ReadyRoom/src/components/ui/flight cards/AircraftTile.tsx",Component,""
467,"/home/user/ReadyRoom/src/utils/permissionCache.ts",Service/Utility,""
465,"/home/user/ReadyRoom/src/components/settings/DiscordIntegration.tsx",Component,""
462,"/home/user/ReadyRoom/src/utils/pollService.ts",Service/Utility,""
441,"/home/user/ReadyRoom/src/components/ui/dialogs/AddSupportRoleDialog.tsx",Component,""
429,"/home/user/ReadyRoom/src/utils/teamService.ts",Service/Utility,""
410,"/home/user/ReadyRoom/src/components/settings/DeveloperSettings.tsx",Component,""
401,"/home/user/ReadyRoom/src/utils/useDragDrop.tsx",Service/Utility,""
393,"/home/user/ReadyRoom/src/components/ui/change-log/CreatePostDialog.tsx",Component,""
383,"/home/user/ReadyRoom/src/components/ui/mission prep/AutoAssignConfig.tsx",Component,""
382,"/home/user/ReadyRoom/src/components/ui/dialogs/PositionReportDialog.tsx",Component,""
381,"/home/user/ReadyRoom/src/components/layout/SectionContext.tsx",Component,""
375,"/home/user/ReadyRoom/src/components/layout/GridLayout.tsx",Component,""
359,"/home/user/ReadyRoom/src/utils/eventService.ts",Service/Utility,""
359,"/home/user/ReadyRoom/src/components/ui/flight cards/SupportRoleAssignmentCard.tsx",Component,""
354,"/home/user/ReadyRoom/src/utils/eventImageService.ts",Service/Utility,""
354,"/home/user/ReadyRoom/src/components/auth/LoginForm.tsx",Component,""
353,"/home/user/ReadyRoom/src/hooks/useChangeLog.ts",Hook,""
352,"/home/user/ReadyRoom/src/components/settings/UserAccounts.tsx",Component,""
346,"/home/user/ReadyRoom/src/hooks/usePermissions.ts",Hook,""
345,"/home/user/ReadyRoom/src/components/ui/PermissionGate.tsx",Component,""
339,"/home/user/ReadyRoom/src/utils/pilotStatusStandingService.ts",Service/Utility,""
322,"/home/user/ReadyRoom/src/components/ui/LoginForm.tsx",Component,""
319,"/home/user/ReadyRoom/src/components/ui/mission prep/AircraftGroups.tsx",Component,""
313,"/home/user/ReadyRoom/src/utils/debugUtils.ts",Service/Utility,""
297,"/home/user/ReadyRoom/src/hooks/useMissionPrepData.ts",Hook,""
293,"/home/user/ReadyRoom/src/hooks/usePolls.ts",Hook,""
288,"/home/user/ReadyRoom/src/types/PermissionTypes.ts",Types,""
284,"/home/user/ReadyRoom/src/utils/discordRoleSync.ts",Service/Utility,""
272,"/home/user/ReadyRoom/src/styles/RosterManagementStyles.ts",Styles,""
270,"/home/user/ReadyRoom/src/components/onboarding/OnboardingGuide.tsx",Component,""
267,"/home/user/ReadyRoom/src/utils/userSettingsService.ts",Service/Utility,""
255,"/home/user/ReadyRoom/src/hooks/useMission.ts",Hook,""
255,"/home/user/ReadyRoom/src/components/settings/Settings.tsx",Component,""
254,"/home/user/ReadyRoom/src/utils/squadronService.ts",Service/Utility,""
254,"/home/user/ReadyRoom/src/components/ui/dialogs/TankerDivisionDialog.tsx",Component,""
251,"/home/user/ReadyRoom/src/utils/coordinateUtils.tsx",Service/Utility,""
251,"/home/user/ReadyRoom/src/components/ui/events/CyclesList.tsx",Component,""
247,"/home/user/ReadyRoom/src/components/layout/DroppableZone.tsx",Component,""
246,"/home/user/ReadyRoom/src/components/ui/change-log/ChangeLogPost.tsx",Component,""
244,"/home/user/ReadyRoom/src/components/ui/polls/PollItem.tsx",Component,""
243,"/home/user/ReadyRoom/src/components/ui/flight cards/FlightCard.tsx",Component,""
242,"/home/user/ReadyRoom/src/components/ui/events/EventsList.tsx",Component,""
240,"/home/user/ReadyRoom/src/utils/reminderProcessor.ts",Service/Utility,""
233,"/home/user/ReadyRoom/src/utils/dragDropUtils.tsx",Service/Utility,""
227,"/home/user/ReadyRoom/src/components/ui/QualificationBadge.tsx",Component,""
225,"/home/user/ReadyRoom/src/utils/authDiscordSync.ts",Service/Utility,""
221,"/home/user/ReadyRoom/src/components/ui/change-log/ChangeLogCard.tsx",Component,""
217,"/home/user/ReadyRoom/src/pages/ClearCache.tsx",Page,""
210,"/home/user/ReadyRoom/src/components/ui/polls/PollCard.tsx",Component,""
209,"/home/user/ReadyRoom/src/components/ui/dialogs/EnRouteDivisionDialog.tsx",Component,""
208,"/home/user/ReadyRoom/src/context/AuthContext.tsx",Context,""
201,"/home/user/ReadyRoom/src/types/FlightData.ts",Types,""
201,"/home/user/ReadyRoom/src/components/ui/flight cards/SingleFlightCard.tsx",Component,""
